id,first_name,last_name,email,hire_date
1,John,Doe,john.doe@example.com,2022-01-01
2,Jane,Smith,jane.smith@example.com,2022-02-15
3,Robert,Johnson,robert.johnson@example.com,2022-03-20
4,Emily,Williams,emily.williams@example.com,2022-04-10
5,Michael,Brown,michael.brown@example.com,2022-05-05
6,Laura,Taylor,laura.taylor@example.com,2022-06-18
7,Daniel,Anderson,daniel.anderson@example.com,2022-07-25
8,Olivia,Thomas,olivia.thomas@example.com,2022-08-03
9,William,Martinez,william.martinez@example.com,2022-09-12
10,Sophia,Jones,sophia.jones@example.com,2022-10-08
11,Jackson,Garcia,jackson.garcia@example.com,2022-11-14
12,Ava,Rodriguez,ava.rodriguez@example.com,2022-12-22
